# Pick&Place Position Data File
#
# Project Name:        100818
# Project Version:     v1.0.1
# Board Name:          100817
# Generation Software: LibrePCB 1.1.0
# Generation Date:     2024-09-10T10:23:42
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
J11,61300611121,Generic Pin Header 2.54mm 1x06 ⌀1.0mm,Pin Header 2.54mm 1x06 ⌀1.0mm,60.0456,35.6108,0.0,Top,THT
J12,530470410,Molex_Picoblade_1x4_VERT_TH_530470410,Picoblade_vert_TH_1x4_530470410,47.5742,21.1582,270.0,Top,THT
L3,MLZ2012N100LT000,Inductor 2012 (0805),INDC2012 (0805),37.465,46.736,0.0,Top,SMT
L6,RC1210JR-070RL,Inductor 3225 (1210),INDC3225 (1210),55.8292,38.2778,0.0,Top,SMT
L7,RC1210JR-070RL,Inductor 3225 (1210),INDC3225 (1210),89.789,8.509,270.0,Top,SMT
LED1,LTST-C191KGKT,LED_0603,LED_0603,12.7,14.605,0.0,Top,SMT
LED2,LTST-C191KGKT,LED_0603,LED_0603,12.7,15.875,0.0,Top,SMT
LED3,LTST-C191KGKT,LED_0603,LED_0603,51.2318,25.157288,90.0,Top,SMT
LED4,LTST-C191KGKT,LED_0603,LED_0603,44.8056,45.0342,90.0,Top,SMT
LED5,LTST-C191KGKT,LED_0603,LED_0603,43.561,45.085,90.0,Top,SMT
Q2,DMP6023LE-13,DMP6023LE-13,SOT223-4P230_700X180L175X75T175X300,16.129,36.576,180.0,Top,SMT
Q3,DMP6023LE-13,DMP6023LE-13,SOT223-4P230_700X180L175X75T175X300,24.384,41.783,180.0,Top,SMT
Q4,DMP6023LE-13,DMP6023LE-13,SOT223-4P230_700X180L175X75T175X300,56.134,24.003,180.0,Top,SMT
Q7,DMN63D8L-7,DMN63D8L-7,SOT23-3P95_230X110L50X40,31.369,43.434,180.0,Top,SMT
R2,RC0805FR-13300RL,Resistor 2012 (0805),RESC2012 (0805),12.065,12.065,90.0,Top,SMT
R3,RC0805FR-13300RL,Resistor 2012 (0805),RESC2012 (0805),12.065,8.255,90.0,Top,SMT
R6,RC0805FR-131KL,Resistor 2012 (0805),RESC2012 (0805),17.0434,28.7274,180.0,Top,SMT
R7,RC0805FR-131ML,Resistor 2012 (0805),RESC2012 (0805),19.9644,25.1206,0.0,Top,SMT
R9,RC0805FR-1322RL,Resistor 2012 (0805),RESC2012 (0805),26.6192,12.2428,180.0,Top,SMT
R10,RC0805FR-1322RL,Resistor 2012 (0805),RESC2012 (0805),26.6192,14.0462,180.0,Top,SMT
R12,RC0805FR-1310KL,Resistor 2012 (0805),RESC2012 (0805),26.162,30.353,180.0,Top,SMT
